,AAPL,MSFT,AMZN,BRK-A,JPM,JNJ,WMT,BAC,PG,XOM
2000-01-01,3.194901466369629,37.556007385253906,76.125,56100.0,28.443702697753906,27.45036125183105,47.99706268310547,12.477510452270508,29.38739776611328,22.486614227294922
2000-01-02,3.194901466369629,37.556007385253906,76.125,56100.0,28.443702697753906,27.45036125183105,47.99706268310547,12.477510452270508,29.38739776611328,22.486614227294922
2000-01-03,3.478462219238281,37.49568557739258,89.375,54800.0,26.68170928955078,27.13758087158203,46.391357421875,12.042428016662598,28.75035858154297,21.858600616455078
2000-01-04,3.1851909160614014,36.22905731201172,81.9375,52000.0,26.17026710510254,26.14406776428223,44.65550994873047,11.327657699584961,28.197153091430664,21.439910888671875
2000-01-05,3.2318031787872314,36.61108016967773,69.75,53200.0,26.008716583251953,26.420055389404297,43.74416732788086,11.4519624710083,27.66069793701172,22.60872840881348
2000-01-06,2.9521284103393555,35.384666442871094,65.5625,55000.0,26.37796211242676,27.24798583984375,44.22152328491211,12.430896759033205,28.93476867675781,23.77754020690918
2000-01-07,3.091965913772583,35.847076416015625,69.5625,56500.0,26.86260223388672,28.407072067260746,47.56310272216797,12.10458755493164,31.24820327758789,23.7077693939209
2000-01-08,3.091965913772583,35.847076416015625,69.5625,56500.0,26.86260223388672,28.407072067260746,47.56310272216797,12.10458755493164,31.24820327758789,23.7077693939209
2000-01-09,3.091965913772583,35.847076416015625,69.5625,56500.0,26.86260223388672,28.407072067260746,47.56310272216797,12.10458755493164,31.24820327758789,23.7077693939209
2000-01-10,3.0375845432281494,36.10844802856445,69.1875,56000.0,26.401042938232425,27.68953895568848,46.69515991210938,11.68504238128662,31.09733772277832,23.37631416320801
2000-01-11,2.882209062576294,35.183616638183594,66.75,54600.0,25.777935028076172,27.781530380249023,46.00080108642578,11.436426162719727,31.58349418640137,23.44608497619629
2000-01-12,2.7093539237976074,34.03763961791992,63.5625,53600.0,25.939476013183594,27.52395820617676,45.1762580871582,11.560736656188965,31.38232421875,23.306535720825195
2000-01-13,3.0065097808837886,34.680992126464844,65.9375,54400.0,26.3317985534668,27.48716163635254,45.21965408325195,11.8248929977417,30.84586906433105,23.847339630126953
2000-01-14,3.121098756790161,36.10844802856445,64.25,52200.0,27.27799797058105,27.57915687561035,44.78569030761719,12.555208206176758,31.38232421875,23.37631416320801
2000-01-15,3.121098756790161,36.10844802856445,64.25,52200.0,27.27799797058105,27.57915687561035,44.78569030761719,12.555208206176758,31.38232421875,23.37631416320801
2000-01-16,3.121098756790161,36.10844802856445,64.25,52200.0,27.27799797058105,27.57915687561035,44.78569030761719,12.555208206176758,31.38232421875,23.37631416320801
2000-01-17,3.121098756790161,36.10844802856445,64.25,52200.0,27.27799797058105,27.57915687561035,44.78569030761719,12.555208206176758,31.38232421875,23.37631416320801
2000-01-18,3.229860544204712,37.09358215332031,64.125,52000.0,26.2164249420166,26.88000869750977,45.5234489440918,11.93366527557373,31.36555290222168,23.655426025390625
2000-01-19,3.3114330768585205,34.41962432861328,66.8125,52800.0,27.37030601501465,26.97199440002441,44.48192596435547,11.93366527557373,31.11675262451172,23.88220596313477
2000-01-20,3.5270161628723145,34.09794235229492,64.75,53000.0,27.347230911254886,27.06399726867676,44.00455093383789,11.704465866088867,30.35822486877441,23.35886192321777
2000-01-21,3.4590389728546143,33.374176025390625,62.0625,52900.0,26.93183517456055,26.456846237182614,43.353599548339844,11.358734130859375,27.69493103027344,23.7252140045166
2000-01-22,3.4590389728546143,33.374176025390625,62.0625,52900.0,26.93183517456055,26.456846237182614,43.353599548339844,11.358734130859375,27.69493103027344,23.7252140045166
2000-01-23,3.4590389728546143,33.374176025390625,62.0625,52900.0,26.93183517456055,26.456846237182614,43.353599548339844,11.358734130859375,27.69493103027344,23.7252140045166
2000-01-24,3.3017220497131348,32.569976806640625,70.125,52900.0,26.95491027832031,24.63541412353516,41.227134704589844,11.079033851623537,27.812915802001953,23.515871047973636
2000-01-25,3.4881722927093506,33.07260131835937,69.25,52800.0,27.55492973327637,25.09536552429199,42.4422492980957,11.218883514404297,26.29585266113281,23.463531494140625
2000-01-26,3.424080610275269,31.96684265136719,64.8125,53000.0,28.962688446044922,24.58020782470703,43.00641632080078,11.71612548828125,27.1386661529541,23.306535720825195
2000-01-27,3.418253898620605,31.765783309936523,66.9375,52650.0,29.79347801208496,23.69709396362305,41.053558349609375,11.964734077453613,28.065757751464844,22.60872840881348
2000-01-28,3.158000230789185,31.60494041442871,61.6875,52300.0,28.31649780273437,24.87458610534668,38.27614212036133,11.374272346496582,27.05439376831055,22.01560401916504
2000-01-29,3.158000230789185,31.60494041442871,61.6875,52300.0,28.31649780273437,24.87458610534668,38.27614212036133,11.374272346496582,27.05439376831055,22.01560401916504
2000-01-30,3.158000230789185,31.60494041442871,61.6875,52300.0,28.31649780273437,24.87458610534668,38.27614212036133,11.374272346496582,27.05439376831055,22.01560401916504
2000-01-31,3.224034786224365,31.484304428100586,64.5625,51200.0,29.79347801208496,25.33454895019531,38.015769958496094,12.042428016662598,27.256669998168945,23.132081985473636
2000-02-01,3.11527156829834,33.11281204223633,67.4375,51900.0,30.92429351806641,24.966583251953125,40.749759674072266,12.182280540466307,26.83527183532715,23.219295501708984
2000-02-02,3.0706021785736084,32.429244995117195,69.4375,50900.0,30.41658592224121,25.13216590881348,40.53277587890625,11.87151336669922,26.59926795959473,23.39375114440918
